1501,1001,12,14,10000,68640
1502,1002,15,19,10001,46585
1503,1003,15,15,10002,61300
1504,1004,10,16,10003,78645
1505,1005,18,17,10004,68700
1506,1006,16,21,10005,90800
1507,1007,14,29,10006,41900
1508,1008,14,22,10007,157300
1509,1009,13,21,10008,90800
1510,1010,17,10,10009,55200
1511,1011,17,17,10010,75570
1512,1012,15,24,10011,64995
1513,1013,15,23,10012,180800
1514,1014,11,14,10013,68640
1515,1015,15,15,10014,64365
1516,1016,10,21,10015,99880
1517,1017,14,13,10016,45200
1518,1018,13,29,10017,41900
1519,1019,14,28,10018,59290
1520,1020,10,24,10019,68090
1521,1021,15,19,10020,44467
1522,1022,17,26,10021,89239
1523,1023,17,15,10022,61300
1524,1024,10,10,10023,57960
1525,1025,10,25,10024,94657
1526,1026,13,13,10025,47460
1527,1027,17,14,10026,62400
1528,1028,13,15,10027,67430
1529,1029,17,23,10028,198880
1530,1030,13,21,10029,99880
1531,1031,10,24,10030,68090
1532,1032,14,13,10012,45200
1533,1033,14,17,10031,68700
1534,1034,13,13,10032,47460
1535,1035,14,26,10033,84990
1536,1036,11,17,10034,75570
1537,1037,16,14,10035,65520
1538,1038,15,12,10036,65500
1539,1039,13,18,10037,47617
1540,1040,18,22,10038,150150
1541,1041,13,13,10039,49720
1542,1042,12,20,10040,106000
1543,1043,14,29,10041,41900
1544,1044,10,17,10042,72135
1545,1045,11,12,10043,68775
1546,1046,14,29,10044,43995
1547,1047,12,10,10045,57960
1548,1048,16,19,10046,44467
1549,1049,15,26,10047,84990
1550,1050,15,25,10048,90150
1551,1051,18,24,10049,61900
1552,1052,15,12,10050,72050
1553,1053,18,17,10051,75570
1554,1054,13,19,10052,44467
1555,1055,17,17,10002,68700
1556,1056,10,24,10053,68090
1557,1057,18,12,10054,65500
1558,1058,10,17,10055,75570
1559,1059,16,29,10056,41900
1560,1060,16,16,10057,78645
1561,1061,12,27,10058,57900
1562,1062,13,17,10059,75570
1563,1063,12,13,10060,49720
1564,1064,14,17,10061,75570
1565,1065,13,23,10061,198880
1566,1066,12,24,10062,68090
1567,1067,12,11,10063,38640
1568,1068,15,19,10048,42350
1569,1069,13,12,10064,68775
1570,1070,15,25,10020,94657
1571,1071,11,15,10065,61300
1572,1072,13,21,10066,95340
1573,1073,15,17,10067,68700
1574,1074,17,24,10068,68090
1575,1075,10,26,10069,84990
1576,1076,15,23,10008,180800
1577,1077,10,13,10070,49720
1578,1078,17,12,10071,68775
1579,1079,12,29,10072,41900
1580,1080,17,23,10073,189840
1581,1081,15,12,10074,65500
1582,1082,13,18,10075,45350
1583,1083,11,23,10076,198880
1584,1084,16,26,10077,89239
1585,1085,18,10,10078,55200
1586,1086,14,28,10079,53900
1587,1087,12,25,10080,90150
1588,1088,11,28,10081,53900
1589,1089,18,16,10082,82390
1590,1090,11,27,10077,60795
1591,1091,11,14,10014,65520
1592,1092,10,21,10083,99880
1593,1093,18,13,10084,45200
1594,1094,17,22,10085,150150
1595,1095,15,14,10086,65520
1596,1096,15,21,10087,90800
1597,1097,10,29,10088,46090
1598,1098,11,21,10089,99880
